,Distrito,Cluster KM,Cluster HAC ,Cluster DB SP
233,"LAMBAYEQUE, LAMBAYEQUE, SAN JOSE",3,0,1
234,"LAMBAYEQUE, LAMBAYEQUE, TUCUME",3,0,-1
235,"LIMA, BARRANCA, BARRANCA",3,0,-1
236,"LIMA, CAÑETE, CHILCA",3,0,1
237,"LIMA, HUAROCHIRI, HUAROCHIRI",3,0,-1
238,"LIMA, HUAURA, HUALMAY",3,0,-1
239,"LIMA, LIMA, ATE",3,0,-1
240,"LIMA, LIMA, CARABAYLLO",3,0,-1
241,"LIMA, LIMA, CHORRILLOS",3,0,-1
242,"LIMA, LIMA, COMAS",3,0,24
243,"LIMA, LIMA, INDEPENDENCIA",3,0,-1
244,"LIMA, LIMA, LA MOLINA",3,0,-1
245,"LIMA, LIMA, LA VICTORIA",3,0,-1
246,"LIMA, LIMA, LIMA",3,0,-1
247,"LIMA, LIMA, LOS OLIVOS",3,0,-1
248,"LIMA, LIMA, LURIGANCHO",3,0,-1
249,"LIMA, LIMA, MAGDALENA DEL MAR",3,0,-1
250,"LIMA, LIMA, PUCUSANA",3,0,-1
251,"LIMA, LIMA, PUEBLO LIBRE",3,0,-1
252,"LIMA, LIMA, PUENTE PIEDRA",3,0,0
253,"LIMA, LIMA, RIMAC",3,0,-1
254,"LIMA, LIMA, SAN BORJA",3,0,-1
255,"LIMA, LIMA, SAN ISIDRO",3,0,-1
256,"LIMA, LIMA, SAN JUAN DE LURIGANCHO",3,0,-1
257,"LIMA, LIMA, SAN JUAN DE MIRAFLORES",3,0,-1
258,"LIMA, LIMA, SAN LUIS",3,0,-1
259,"LIMA, LIMA, SAN MARTIN DE PORRES",3,0,-1
260,"LIMA, LIMA, SAN MIGUEL",3,0,-1
261,"LIMA, LIMA, SANTA ANITA",3,0,-1
262,"LIMA, LIMA, SANTIAGO DE SURCO",3,0,-1
263,"LIMA, LIMA, VILLA EL SALVADOR",3,0,-1
264,"LIMA, LIMA, VILLA MARIA DEL TRIUNFO",3,0,-1
265,"LORETO, ALTO AMAZONAS, BALSAPUERTO",3,0,-1
266,"LORETO, ALTO AMAZONAS, JEBEROS",3,0,-1
267,"LORETO, ALTO AMAZONAS, LAGUNAS",3,0,22
268,"LORETO, ALTO AMAZONAS, SANTA CRUZ",3,0,-1
269,"LORETO, ALTO AMAZONAS, TENIENTE CESAR LOPEZ ROJAS",3,0,-1
270,"LORETO, ALTO AMAZONAS, YURIMAGUAS",3,0,-1
271,"LORETO, DATEM DEL MARAÑON, ANDOAS",3,0,-1
272,"LORETO, DATEM DEL MARAÑON, BARRANCA",3,0,22
273,"LORETO, DATEM DEL MARAÑON, MANSERICHE",3,0,-1
274,"LORETO, DATEM DEL MARAÑON, MORONA",3,0,-1
275,"LORETO, DATEM DEL MARAÑON, PASTAZA",3,0,-1
276,"LORETO, LORETO, NAUTA",3,0,-1
277,"LORETO, LORETO, PARINARI",0,1,-1
278,"LORETO, LORETO, TIGRE",3,0,-1
