Distrito,Mean,Var,ACF1,Trend,Linearity,Curvature,Season,Peak,Trough,Entropy,Lumpiness,Spikiness,Lshift,Vchange,Fspots,Cpoints,KlScore,ChangeIdx
SAPUCAI,22.79476185871039,139.23697109575195,-0.3431580396248077,0.8067142785754239,0.0038222090113194497,-1.0710274104221482,0.040950114187930486,1e-07,-0.015257444647422068,1.1592369104845446,0.0003045516257994585,1.1121073885338046e-08,0.24999999999987477,0.02083333333331246,167.0,11.0,1e-10,1e-10
TACUATI,15.375095745751302,16.958058989555166,-0.21285440198517228,0.9278770340132109,0.001673951999760268,-0.5070584054949208,0.019816274746426665,1e-07,-0.006612465802182446,0.8472978603872037,0.0001371474773423127,2.7200551984063207e-09,1e-07,1e-07,185.0,1.0,1e-10,1e-10
CAAZAPA,6.458934190931187,22.55076405965842,-0.0003810074383767446,0.6893285556669959,0.003864798568323391,-1.0307902777098632,0.019685872232936275,2.0,-0.018191639804679128,1.0683985100716131,0.0011226615146559121,2.167786660322757e-08,0.16486374307654927,0.00906001792707016,157.0,10.0,1e-10,1e-10
CURUGUATY,15.985638342634088,417.0237518800077,0.7793712410289251,0.8857352083826835,0.004390726644921808,-0.8328722742204634,0.029375193778209407,1.0,-0.008879986903397774,0.5851993413371681,0.00029815772715732655,5.25127939851434e-09,0.07547169811321455,0.005221312448084511,121.0,4.0,1e-10,1e-10
PUERTO PINASCO,99.88390299977935,27780.658142708962,0.17062749273623662,0.6293378396222624,0.0005161738964180871,-0.1581865607980602,0.018260780043858893,1e-07,-0.005760543507687423,1.0986122886681098,0.0011328440094293694,1.9718152411157185e-08,1e-07,1e-07,190.0,2.0,1e-10,1e-10
TEBICUARY,63.541147962333696,2627.2947647091823,0.19961712505747675,0.7397557412252178,0.0016327692823341687,-0.47565876875886276,0.015655188916849916,1e-07,-0.006628664124593961,1.3350010667323402,4.776618169540179e-05,1.1997124875934919e-08,1e-07,1e-07,177.0,2.0,1e-10,1e-10
CORONEL MARTINEZ,29.830303222341076,66.56559216382404,0.3926438096943566,0.9861047992023457,0.002813327379770318,-0.8523108249629848,0.00888376310908845,1e-07,-0.002967604629778225,0.5108256237659907,0.00011466719232852155,2.8739406690775305e-10,1e-07,1e-07,184.0,1.0,1e-10,1e-10
SAN LAZARO,20.915748279998144,136.34223852104057,-0.2920477912223049,0.8093551563591262,0.0011502486665958271,-0.35119660177242273,0.029427732032772047,1e-07,-0.011008562748475339,1e-08,0.001528761936862022,1.1330297508616057e-08,1e-07,1e-07,187.0,3.0,1e-10,1e-10
ATYRA,16.404455352599076,280.7475467949389,0.5130236769264421,0.7484907107366423,0.004703310847796275,-1.0300023029545504,0.036341366137882525,1.0,-0.011951518473558152,0.616029877215514,0.0010724262701081184,1.2780720212485395e-08,0.11538461538450698,0.007889546351074177,132.0,6.0,1e-10,1e-10
ALTOS,33.5973353208671,1510.0277724266198,0.5759511881455026,0.8279334413182394,0.003996123319406088,-0.8567283770237634,0.026720566283844893,1e-07,-0.008720028547300406,0.5217249142240263,0.0001620380911236697,4.354901366592444e-09,0.09615384615379881,0.0033284023668619035,134.0,6.0,1e-10,1e-10
PIRIBEBUY,18.435954396284277,360.46820195950414,0.7906049129623649,0.9174145862421482,0.006035254516819785,-1.311788245112211,0.014000341815671669,1.0,-0.006517018073027902,0.5395482248846135,9.780887492909195e-05,2.1991015203845684e-09,0.16140452798934413,0.010482228831783917,138.0,6.0,1e-10,1e-10
AYOLAS,9.351979984382822,24.12571719942788,0.24831940970311356,0.8649762394379683,0.003774079223682787,-1.074655083128436,0.016075417021622518,1e-07,-0.0057342349475857195,0.916290731874155,0.0003743388323496866,6.634621070869446e-09,0.24999999999967,0.020833333333278328,170.0,6.0,1e-10,1e-10
BENJAMIN ACEVAL,22.075410519903308,460.9998174630674,0.6139253812670984,0.8452648824963923,0.004510507399412403,-1.0974986672238956,0.00853568157411111,1.0,-0.007523693516125484,0.6121781180262782,0.00030998130759945255,5.151928287344787e-09,0.08699327515207357,0.006944444444437336,142.0,6.0,1e-10,1e-10
QUIINDY,13.613356645181772,140.0408746605627,0.3801384307081419,0.7964984277492714,0.004185494150657156,-1.102555254346755,0.008662262516432206,1.0,-0.008723729090449191,1.052092273033217,0.000659301110265925,1.0237920662063652e-08,0.0824191178818227,0.002289681168922384,150.0,8.0,1e-10,1e-10
GENERAL MORINIGO,16.171851595742122,0.009223901913710156,-0.06250000000001384,0.936142242541612,0.0012237956675719582,-0.37641098052067506,0.021263230914723485,1e-07,-0.007852101569128847,1.0986122886681098,1e-07,4.903800263376507e-09,1e-07,1e-07,189.0,1.0,1e-10,1e-10
VALENZUELA,18.56466703349882,39.661492638471586,-0.28024226369630073,0.8868798651722107,0.0041135283043441835,-1.2000318521537405,0.04269742318699099,1e-07,-0.015035397301636812,0.7108467576593462,0.0006072922279201032,9.423083096753443e-09,1e-07,1e-07,175.0,8.0,1e-10,1e-10
YGUAZU,18.45973162470637,202.29255323867585,-0.10833732963189663,0.6529227446763104,0.0006207087110954628,-0.1907432960583599,0.02184923952753648,1e-07,-0.006239232266817387,1e-08,0.0009283950617292023,1.4959737600607593e-08,1e-07,1e-07,189.0,2.0,1e-10,1e-10
NUEVA ESPERANZA,19.96730707468777,358.06789147768205,0.542187810243392,0.8283944219459469,0.00228654544524626,-0.6643142885326865,0.030730765545238237,1e-07,-0.009648027138191632,1.0775588794702773,0.0008732556130308765,5.978557045034507e-09,0.09685990338153387,0.0031272802943600243,171.0,4.0,1e-10,1e-10
CAPITAN MIRANDA,9.15775302674622,3.4054363065939186,-0.19545240741835765,0.9438163433620762,0.0034012519930464204,-0.9953628796924401,0.025093844026990997,1e-07,-0.0067243017543838065,0.16833531481921477,0.00013515265504453097,5.253267810616819e-09,1e-07,1e-07,177.0,3.0,1e-10,1e-10
