,Distrito,Mean,Var,ACF1,Trend,Linearity,Curvature,Season,Peak,Trough,Entropy,Lumpiness,Spikiness,Lshift,Vchange,Fspots,Cpoints,KlScore,ChangeIdx
84,ATYRA,9.797429274695068,28.163017985607024,0.027728926714521877,0.7913448525688593,0.00936527343818135,-1.185483903131884,0.015713642836571284,1e-07,-0.011774647397854093,0.5447271754416722,0.0016208224826399758,9.869427509784595e-08,0.2499999999997083,0.02083333333328474,76.0,6.0,1e-10,1e-10
85,ALTOS,22.14883831456491,559.2161644331582,0.704428435985529,0.8692452014972547,0.00521456070391135,-0.6893158650130371,0.05990952878362332,1e-07,-0.018728276950716143,0.6592456288842639,0.00030802898055802997,2.2227442264744287e-08,0.08333333333323155,0.0023148148148091595,84.0,4.0,1e-10,1e-10
86,PIRIBEBUY,15.034552622491736,194.28368571402996,0.8196114447680235,0.9476095775618043,0.007619659760706724,-0.9960744762339512,0.040905809186763564,1e-07,-0.011481749958419853,0.7537718023763802,0.00010968224999497894,4.444209632172555e-09,0.08333333333319537,0.002314814814804276,81.0,2.0,1e-10,1e-10
87,AYOLAS,9.394017631640171,23.349541178384033,0.31548305984087766,0.8944630530243352,0.007609853077742536,-1.0588040133715524,0.029619852817195924,1e-07,-0.01210795589994516,1.2039728043259361,0.0013122046944093583,2.914506771000885e-08,0.33333333333295,0.03703703703695185,86.0,4.0,1e-10,1e-10
88,BENJAMIN ACEVAL,12.727207207685062,80.85294108463667,0.5260287060319037,0.8771304509702452,0.007003686558142154,-0.9479174853704954,0.029561523041588433,1e-07,-0.010620472415986834,1.2039728043259361,0.000170336552836357,2.836964332296083e-08,0.16666666666642155,0.009259259259232022,82.0,4.0,1e-10,1e-10
89,QUIINDY,17.520050937734176,221.92831120942293,0.5266444667111899,0.8403255038791052,0.0044968208615608005,-0.6323643846543265,0.018336602681250813,1e-07,-0.008596683253648232,1e-08,0.0005256913461390872,3.856198119583422e-08,0.06272115634321379,0.0023271501884526745,86.0,2.0,1e-10,1e-10
90,GENERAL MORINIGO,16.363933889707084,1e-07,1e-08,0.984195650610884,0.00015819427453997166,-0.023383334223869925,0.03147163120567398,1e-07,-0.00390625,1e-08,1e-07,2.3017851392877177e-10,1e-07,1e-07,98.0,0.0,1e-10,1e-10
91,VALENZUELA,19.71576102223586,47.33540429124371,-0.44969801562599915,0.8587037494119567,0.006991988530073203,-0.9860399085347537,0.07768290177072168,1e-07,-0.025525592049992656,0.5389965007326869,0.002767238907703877,6.286425940434034e-08,0.4945266728336337,0.0815188767146346,88.0,6.0,1e-10,1e-10
92,YGUAZU,9.471490812653911,1e-07,1e-08,0.984195650610884,0.00015819427453997166,-0.023383334223869925,0.03147163120567398,1e-07,-0.00390625,1e-08,1e-07,2.3017851392877177e-10,1e-07,1e-07,98.0,0.0,1e-10,1e-10
93,NUEVA ESPERANZA,23.02667203684996,458.4282359340043,0.5666856193033862,0.8236564142730916,0.005262939502625365,-0.7329735636989559,0.07304642071404588,1e-07,-0.017585242243045123,0.7884573603642702,0.0017018011444756029,3.9042216155009096e-08,0.0988496302381825,0.0032570831327417976,81.0,4.0,1e-10,1e-10
