anio;semana;distrito_notif;tmax;tmin;tmed;td;pres_est;pres_nm;prcp;hr;helio;nub;vmax_d;vmax_f;vmed;id_estacion;casos
2009;8;YAGUARON;32.4;16.6;24.2;19;997.6;1013.2;0;76;11;0;??;??;??;86221;1
2009;8;YBY YAU;31.06666667;20.66666667;25;20.53333333;948;1008.866667;0;78;9.266666667;4.333333333;??;??;??;86097;3
2009;8;YPANE;33.3;21.8;27.15;21.63333333;998.2333333;1007.583333;16.06666667;74;10.78333333;3.833333333;??;??;??;86218;6
2009;9;ASUNCION;35.36470588;25;29.3;23.27647059;998.7529412;1008.123529;0.047058824;71.41176471;10.42352941;3.705882353;??;??;??;86218;17
2009;9;BELLA VISTA;34.5;21.6;27.3;21.35;949.1;1009.4;12;71.5;10.5;5.5;??;??;??;86294;2
2009;9;CAAGUAZU;34.5;23.5;27.9;23.6;??;??;0;79;6.6;5;??;??;??;86234;1
2009;9;CAPIATA;34.68695652;24.47826087;28.40869565;22.74347826;998.9086957;1008.295652;0.026086957;72.47826087;10.32173913;3.47826087;??;??;??;86218;23
2009;9;CAPITAN BADO;33.66666667;22.33333333;27;21.1;948;1008.366667;2.1;72;9.233333333;5;??;??;??;86097;3
2009;9;CONCEPCION;35.58181818;24.03636364;28.82727273;23.28181818;999.6;1008.672727;5.018181818;73.63636364;9.954545455;3.090909091;??;??;??;86134;11
2009;9;CORONEL OVIEDO;34.30833333;22.475;27.45833333;22.925;??;??;0;78;10.13333333;4.25;??;??;??;86234;12
2009;9;FERNANDO DE LA MORA;34.97777778;24.15555556;28.67777778;22.83333333;998.1333333;1007.511111;0;72;10.15555556;4.111111111;??;??;??;86218;9
2009;9;GUARAMBARE;34.9;25.2;29.25;23.7;998.5;1007.85;0;73.5;10;4;??;??;??;86218;2
2009;9;HERNANDARIAS;36.6;21;26.9;21.7;982.8;1010.8;0;78;6.5;6;??;??;??;86246;1
2009;9;HORQUETA;35.46190476;23.63333333;28.85238095;23.03571429;999.3261905;1008.421429;2.628571429;73.11904762;10.81428571;2.928571429;??;??;??;86134;42
2009;9;ITA;35.66666667;23.8;29.23333333;23.4;996.5;1011.833333;0;72.66666667;7.133333333;3.333333333;??;??;??;86221;3
2009;9;ITAUGUA;34.8;24.85;28.825;23.15;999.275;1008.65;0;72.75;10.8;2.75;??;??;??;86218;4
2009;9;J A SALDIVAR;35.4;24.6;29.3;23.5;1000.1;1009.4;0;73;9.4;4;??;??;??;86218;1
2009;9;JUAN LEON MALLORQUIN;36.6;24.2;30.2;23.5;984;1012;1.4;70;9;3;??;??;??;86246;1
2009;9;LAMBARE;35.36;24.92;29.19333333;23.11333333;998.22;1007.586667;0.026666667;71.06666667;9.88;4.333333333;??;??;??;86218;15
2009;9;LIMPIO;35.9;25.2;29.7;23.4;999.45;1008.8;0.1;70.5;10.1;4;??;??;??;86218;2
2009;9;LORETO;33;24;27.5;23;1000;1009.2;0;77;9.5;3;??;??;??;86134;1
2009;9;LUQUE;35.2;25.05;28.825;22.65;999.025;1008.425;0.05;70.25;10.7;3;??;??;??;86218;4
2009;9;MARIANO ROQUE ALONSO;34.9;25.1;29.1;23.5;999.05;1008.45;0.1;73;11.3;3;??;??;??;86218;2
2009;9;NUEVA ITALIA;36.6;25.4;30.1;23.6;996.1;1011.4;0;70;5.7;4;??;??;??;86221;2
2009;9;PEDRO JUAN CABALLERO;32.375;21.575;25.6875;20.85625;948.2375;1008.95625;1.8125;76.8125;7.68125;4.5625;??;??;??;86097;16
2009;9;SAN LORENZO;36.9;24.45;??;??;??;??;0;??;10.025;??;??;??;??;86185;4
2009;9;VILLA ELISA;35;23.95;28.4;22.45;998.15;1007.55;0.05;71.25;10.2;4.25;??;??;??;86218;4
2009;9;VILLA HAYES;34.9;25.4;29.35;23.6;998.7;1008.1;0;72.5;11.9;2;??;??;??;86218;2
2009;9;YBY YAU;31;20.9;24.3;20.9;948.3;1009.4;1.15;83;6.2;4.5;??;??;??;86097;2
2009;9;YGATIMI;34.4;22.8;28.2;18.7;989;1010.9;0;58;??;2;??;??;??;86192;1
2009;9;YPANE;35.24;24;28.84;22.78;997.9;1007.28;0;71.2;10.28;4.2;??;??;??;86218;5
2009;10;ACAHAY;29.4;21.4;24.4;21.5;998.3;1013.9;10;85;2.5;6;??;??;??;86221;1
2009;10;ASUNCION;32.95294118;23.07647059;27.42352941;22.06176471;1001.073529;1010.414706;0.223529412;74.41176471;8.029411765;4.588235294;??;??;??;86218;34
2009;10;CAACUPE;30.4;21.6;25.4;21.8;999.1;1014.7;0;82;5.5;5;??;??;??;86221;1
2009;10;CAPIATA;33.18888889;23.35555556;27.66111111;22.30555556;1000.816667;1010.144444;0.1;74.5;8.761111111;4.333333333;??;??;??;86218;18
2009;10;CARAPEGUA;33.5;21.8;27.1;21.95;998.1;1013.55;0;76;8.55;1.5;??;??;??;86221;2
2009;10;CECILIO BAEZ;32.625;22.75;27.05;20.775;989.75;1011.7;6.275;69.75;??;4.75;??;??;??;86192;4
2009;10;CHORE;35;22.8;27.8;19.2;989;1010.9;21.4;61;??;4;??;??;??;86192;2
2009;10;CONCEPCION;32.73333333;23.66666667;27.1;23.46111111;1001.422222;1010.516667;2.488888889;82.27777778;7.372222222;5.222222222;??;??;??;86134;18
2009;10;CORONEL OVIEDO;31.71578947;23.03684211;25.82631579;23.30526316;??;??;18.81052632;86.78947368;6.168421053;5.263157895;??;??;??;86234;19
2009;10;ENCARNACION;30.875;21.8;25.75;22.525;999.425;1009.925;0.5;83.25;??;5.5;??;??;??;86297;4
2009;10;FERNANDO DE LA MORA;32.86666667;23.41111111;27.48888889;22.38888889;1000.8;1010.122222;0.133333333;75.44444444;8.022222222;4.666666667;??;??;??;86218;9
2009;10;FRAM;29.4;19.6;23.5;20.7;??;??;0;85;7.2;5;??;??;??;86294;1
2009;10;GUARAMBARE;31.8;22.8;26.5;21.4;1002.1;1011.6;0.6;75;7.5;6;??;??;??;86218;2
2009;10;HERNANDARIAS;31.95;22.46666667;25.56666667;22.96666667;984.5666667;1012.566667;7.1;86.33333333;6.55;5.333333333;??;??;??;86246;6
2009;10;HORQUETA;33.62142857;24.00714286;27.23928571;23.32142857;1001.471429;1010.575;8.371428571;81.57142857;6.264285714;5.785714286;??;??;??;86134;28
2009;10;ITA;32.4;23;26.9;22.7;997.95;1013.4;0;79;8.3;4.5;??;??;??;86221;2
2009;10;ITAUGUA;33.73846154;23.03846154;27.89230769;22.00769231;1000.984615;1010.323077;0.2;72.61538462;8.669230769;4;??;??;??;86218;13
2009;10;J A SALDIVAR;31.24;23.04;26.62;22.18;1001.26;1010.58;0.12;78;7.22;5.2;??;??;??;86218;5
2009;10;JOSE DOMINGO OCAMPOS;33.3;22.4;25.3;21;983.5;1012;8.5;79;9.6;6;??;??;??;86246;2
2009;10;JUAN E. OLEARY;33.4;23.3;25.8;23.4;984.7;1012.7;5;87;7.9;4;??;??;??;86246;1
2009;10;JUAN LEON MALLORQUIN;31.2;21.3;25.2;22;984.1;1012.1;0;84;7.7;6;??;??;??;86246;1
2009;10;LAMBARE;31.73846154;23.34615385;26.71538462;22.13846154;1001.384615;1010.707692;0.230769231;77.15384615;6.607692308;5.307692308;??;??;??;86218;13
2009;10;LIMPIO;37;23.2;29.9;22.4;999.8;1009.1;0;67;11.6;2;??;??;??;86218;1
2009;10;LORETO;34.95;25;28.05;23.8;1001.1;1010.15;5;80.5;6;5;??;??;??;86134;2
2009;10;LUQUE;32.3;24.25;27.1;22.625;1001;1010.325;0;77.25;8.65;5;??;??;??;86218;4
2009;10;MARIANO ROQUE ALONSO;33.36;23.23;27.73;22.14;1000.94;1010.28;0.06;73.6;9.71;4;??;??;??;86218;10
2009;10;NUEVA ITALIA;32.4;23;26.9;22.7;997.95;1013.4;0;79;8.3;4.5;??;??;??;86221;2
2009;10;PARAGUARI;33.8;20.8;26.9;21.9;998.6;1014;0;76;10.3;2;??;??;??;86221;1
