#,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Nueva Colombia,3774.726277,3778.656239,3782.451041,3786.448172,3790.891537,3795.697156,3801.018231,3807.054908,3813.959061,3821.580488,3829.937956,3838.807345,3848.425433,3858.273114,3868.317646,3878.528824,3888.610998,3898.288011,3907.532097,3916.013953,3923.721405,3930.071634,3935.147295,3938.640654,3940.672402,3940.732995
Piribebuy,19928.75577,20321.53364,20721.30721,21130.07702,21549.44006,21979.22327,22420.60454,22875.13189,23344.14541,23827.18754,24324.81454,24836.03574,25362.8077,25902.12862,26454.0842,27018.75986,27594.3654,28179.07859,28772.78034,29373.0668,29979.77192,30588.26733,31198.86037,31808.73531,32418.40296,33023.13732
Primero de Marzo,6352.394709,6368.526982,6384.449438,6400.734053,6417.797585,6435.504238,6454.119492,6473.990997,6495.385647,6518.056959,6542.045258,6566.9758,6593.261725,6620.020511,6647.200812,6674.754178,6702.176511,6728.991044,6755.15035,6780.083742,6803.767106,6825.183926,6844.469788,6861.080638,6875.217185,6885.978595
San Bernardino,9857.779701,9955.441501,10053.72302,10153.53475,10255.56149,10359.62441,10466.18318,10575.84863,10689.11254,10805.63051,10925.5249,11048.22324,11174.47158,11302.82236,11433.21565,11565.59233,11699.09938,11832.90109,11966.90182,12100.06792,12232.31804,12361.77022,12488.59047,12611.70123,12731.37382,12845.83296
Santa Elena,5249.980053,5240.726785,5231.28986,5222.139579,5213.609606,5205.584344,5198.269738,5191.936228,5186.783101,5182.598605,5179.400951,5176.881142,5175.354384,5174.116224,5173.121995,5172.328932,5171.345438,5169.80484,5167.677618,5164.535486,5160.372218,5154.431661,5146.837705,5137.203283,5125.703773,5111.69346
Tobati,23860.04232,24252.63243,24650.81496,25056.8929,25472.67085,25897.83205,26333.66238,26781.85607,27243.84978,27718.96747,28207.71913,28708.81794,29224.38609,29750.82995,30288.13163,30836.27808,31393.11219,31956.48164,32526.17423,33099.40948,33675.95524,34250.58974,34823.66324,35392.04802,35956.3434,36511.35589
Valenzuela,5799.21641,5855.64505,5912.410311,5970.047096,6028.95845,6089.037961,6150.556217,6213.871464,6279.272674,6346.55722,6415.796985,6486.655711,6559.571178,6633.694049,6708.9895,6785.423613,6862.496117,6939.718222,7017.034648,7093.840526,7170.089631,7244.680695,7317.713075,7388.557555,7457.375392,7523.129237
San Jose Obrero,4252.759795,4255.762853,4258.613829,4261.694177,4265.277999,4269.272586,4273.8497,4279.235204,4285.599061,4292.772191,4300.775014,4309.355593,4318.780064,4328.464924,4338.373713,4348.471833,4358.429165,4367.935088,4376.95999,4385.135877,4392.450316,4398.251445,4402.633353,4405.253144,4406.247794,4405.04875
Dpto. Guaira,187724,189461.719,191192.8094,192922.1772,194668.0595,196443.7739,198235.7615,200061.8195,201937.6572,203861.4801,205831.4141,207840.0236,209900.379,212004.9331,214147.497,216335.0215,218560.3251,220818.1752,223104.1023,225409.7411,227747.4841,230112.4082,232503.4862,234920.2694,237364.2949,239854.9094
Villarrica,57566.74745,58303.64576,59040.5731,59778.98629,60524.49902,61281.26307,62045.05481,62821.46448,63615.47808,64426.61378,65254.35934,66096.42106,66957.00531,67833.79229,68724.83525,69632.40212,70554.24803,71488.68744,72434.30285,73388.34881,74354.85463,75332.22637,76320.11776,77318.35506,78327.45255,79353.76979
