,Distrito,Cluster KM,Cluster HAC ,Cluster DB SP
206,"LAMBAYEQUE, CHICLAYO, JOSE LEONARDO ORTIZ",0,2,0
207,"LAMBAYEQUE, CHICLAYO, LA VICTORIA",0,2,0
208,"LAMBAYEQUE, CHICLAYO, LAGUNAS",0,2,0
209,"LAMBAYEQUE, CHICLAYO, MONSEFU",0,2,0
210,"LAMBAYEQUE, CHICLAYO, OYOTUN",0,2,1
211,"LAMBAYEQUE, CHICLAYO, PATAPO",0,2,0
212,"LAMBAYEQUE, CHICLAYO, PICSI",0,2,0
213,"LAMBAYEQUE, CHICLAYO, PIMENTEL",0,2,0
214,"LAMBAYEQUE, CHICLAYO, POMALCA",0,2,1
215,"LAMBAYEQUE, CHICLAYO, PUCALA",0,2,0
216,"LAMBAYEQUE, CHICLAYO, REQUE",0,2,0
217,"LAMBAYEQUE, CHICLAYO, SAÑA",0,2,0
218,"LAMBAYEQUE, CHICLAYO, TUMAN",0,2,0
219,"LAMBAYEQUE, FERREÑAFE, FERREÑAFE",0,2,0
220,"LAMBAYEQUE, FERREÑAFE, MANUEL ANTONIO MESONES MURO",0,2,0
221,"LAMBAYEQUE, FERREÑAFE, PITIPO",0,2,1
222,"LAMBAYEQUE, FERREÑAFE, PUEBLO NUEVO",0,2,0
223,"LAMBAYEQUE, LAMBAYEQUE, CHOCHOPE",0,2,0
224,"LAMBAYEQUE, LAMBAYEQUE, ILLIMO",0,2,0
225,"LAMBAYEQUE, LAMBAYEQUE, JAYANCA",0,2,0
226,"LAMBAYEQUE, LAMBAYEQUE, LAMBAYEQUE",0,2,0
227,"LAMBAYEQUE, LAMBAYEQUE, MOCHUMI",0,2,0
228,"LAMBAYEQUE, LAMBAYEQUE, MORROPE",0,2,0
229,"LAMBAYEQUE, LAMBAYEQUE, MOTUPE",0,2,0
230,"LAMBAYEQUE, LAMBAYEQUE, OLMOS",0,2,0
231,"LAMBAYEQUE, LAMBAYEQUE, PACORA",0,2,0
232,"LAMBAYEQUE, LAMBAYEQUE, SALAS",0,2,0
233,"LAMBAYEQUE, LAMBAYEQUE, SAN JOSE",0,2,0
234,"LAMBAYEQUE, LAMBAYEQUE, TUCUME",0,2,1
235,"LIMA, BARRANCA, BARRANCA",0,2,1
236,"LIMA, CAÑETE, CHILCA",0,2,0
237,"LIMA, HUAROCHIRI, HUAROCHIRI",0,2,0
238,"LIMA, HUAURA, HUALMAY",0,2,0
239,"LIMA, LIMA, ATE",0,2,1
240,"LIMA, LIMA, CARABAYLLO",0,2,1
241,"LIMA, LIMA, CHORRILLOS",0,2,1
242,"LIMA, LIMA, COMAS",0,2,0
243,"LIMA, LIMA, INDEPENDENCIA",0,2,0
244,"LIMA, LIMA, LA MOLINA",0,2,-1
245,"LIMA, LIMA, LA VICTORIA",0,2,1
246,"LIMA, LIMA, LIMA",0,2,1
247,"LIMA, LIMA, LOS OLIVOS",0,2,1
248,"LIMA, LIMA, LURIGANCHO",0,2,1
249,"LIMA, LIMA, MAGDALENA DEL MAR",0,2,0
250,"LIMA, LIMA, PUCUSANA",0,2,0
251,"LIMA, LIMA, PUEBLO LIBRE",0,2,1
252,"LIMA, LIMA, PUENTE PIEDRA",0,2,0
253,"LIMA, LIMA, RIMAC",0,2,1
254,"LIMA, LIMA, SAN BORJA",0,2,0
255,"LIMA, LIMA, SAN ISIDRO",0,2,1
256,"LIMA, LIMA, SAN JUAN DE LURIGANCHO",0,2,1
257,"LIMA, LIMA, SAN JUAN DE MIRAFLORES",0,2,1
258,"LIMA, LIMA, SAN LUIS",0,2,0
259,"LIMA, LIMA, SAN MARTIN DE PORRES",0,2,0
260,"LIMA, LIMA, SAN MIGUEL",0,2,1
261,"LIMA, LIMA, SANTA ANITA",0,2,1
262,"LIMA, LIMA, SANTIAGO DE SURCO",0,2,1
263,"LIMA, LIMA, VILLA EL SALVADOR",0,2,0
264,"LIMA, LIMA, VILLA MARIA DEL TRIUNFO",0,2,0
265,"LORETO, ALTO AMAZONAS, BALSAPUERTO",0,2,1
266,"LORETO, ALTO AMAZONAS, JEBEROS",0,2,0
267,"LORETO, ALTO AMAZONAS, LAGUNAS",0,2,0
268,"LORETO, ALTO AMAZONAS, SANTA CRUZ",0,2,0
269,"LORETO, ALTO AMAZONAS, TENIENTE CESAR LOPEZ ROJAS",0,2,0
270,"LORETO, ALTO AMAZONAS, YURIMAGUAS",0,2,0
