,Dep-Prov-Distrito,Mean,Var,ACF1,Trend,Linearity,Curvature,Season,Peak,Trough,Entropy,Lumpiness,Spikiness,Lshift,Vchange,Fspots,Cpoints,KLScore,ChangeIdx,Semanas no Nulas,Semana del MAX
238,"LIMA, HUAURA, HUALMAY",0.060866236108723826,0.19264433223493077,-0.0003628447024673361,0.48635911856350467,0.05555555555555553,-0.10997484496795334,0.6700482623529177,1e-07,1.0,0.98854909101475,0.06625285107749133,1.0312422266575094e-05,0.16129552566161814,2.601624659845771,5.0,1e-07,1e-08,1e-08,1.0,1e-07
239,"LIMA, LIMA, ATE",0.03420081948782472,0.021009322131627393,0.5445435715629704,0.5487378251228715,0.012223887355484067,0.2209678963703284,0.3582601644314646,3.0,1e-07,0.8744992550543966,0.001629754053684622,4.849280523434979e-08,0.06000150003700094,0.4256462820405733,15.0,8.0,1e-08,1e-08,15.0,107.0
240,"LIMA, LIMA, CARABAYLLO",0.011863712148063312,0.003589649190338705,-0.03957920853217337,0.1693424512502102,0.004549853832512099,0.04669795160537375,0.2961238437161916,4.0,6.0,0.9075852689145589,6.3184156828110335e-06,6.49012433875236e-09,0.016060025952501937,0.025792443359503574,10.0,4.0,1e-08,1e-08,4.0,18.0
241,"LIMA, LIMA, CHORRILLOS",0.056216274811747305,0.0504379020599402,0.14794060622835473,0.32080579881661153,0.0010710537026327066,-0.22346095807801175,0.2959512953910012,2.0,6.0,0.9359678802451623,0.0024302362286131945,5.942447800264989e-06,0.07448656411306517,0.5548248233369771,5.0,3.0,1e-08,1e-08,5.0,16.0
242,"LIMA, LIMA, COMAS",1.2730176724680786,47.72919092954731,0.701906428888001,0.6796225478512672,0.01940117853357016,-16.396279772396284,0.2643053881008033,3.0,1e-07,0.8473233819397914,15702.319150536821,0.1250162390708234,3.6609899999995044,1420.1041525075868,26.0,13.0,1e-08,1e-08,51.0,52.0
243,"LIMA, LIMA, INDEPENDENCIA",0.07876204303623065,0.11381987720155572,0.12590508328467365,0.44648079598778245,0.0018464888341453592,0.3895049534008994,0.5864186155578043,2.0,1e-07,0.9399058035224342,0.03477226927243341,8.719296592299942e-07,0.1753894999995,3.0761476710074613,15.0,9.0,1e-08,1e-08,15.0,2.0
244,"LIMA, LIMA, LA MOLINA",0.5542403344523785,2.018626860413296,0.7699839959566517,0.9729173149701933,0.3127123480382713,-4.112963441079071,0.533017873476548,1e-07,5.0,0.7036380393841305,4.160784100690207,5.662606789470225e-06,0.3147293327733145,2.201212286860503,5.0,2.0,1e-08,1e-08,11.0,1e-07
245,"LIMA, LIMA, LA VICTORIA",0.02130753020798616,0.011577276500021369,-0.020347761746207917,0.2800317742571905,0.007080610021786483,-0.06416508506655846,0.4685191128431303,6.0,4.0,0.8941543959965705,6.58081965645844e-05,1.1769453294556414e-07,0.028232477512331662,0.07970727864843129,5.0,2.0,1e-08,1e-08,2.0,13.0
246,"LIMA, LIMA, LIMA",0.0451046848975978,0.017849798533594096,0.12492130266488935,0.3822067713903109,0.0007775934277757767,-0.010154222929625473,0.35812181405645915,2.0,1.0,0.864820984742608,0.00015236095103688624,4.267366511383703e-08,0.03568446369769508,0.1273380949392118,10.0,9.0,1e-08,1e-08,12.0,31.0
247,"LIMA, LIMA, LOS OLIVOS",0.014627408292067575,0.0035701809690829697,0.05995608453265638,0.29490060231171333,0.00048341609658046663,0.01788139544597639,0.37449942916175105,1.0,3.0,0.9179752325826854,1.546449301655587e-05,1.074939732654321e-09,0.013570951648913476,0.022756123044247956,15.0,8.0,1e-08,1e-08,9.0,84.0
248,"LIMA, LIMA, LURIGANCHO",0.3580070081176758,0.9144426388395007,0.6005037675348281,0.5521237857244017,0.006283272998050621,-0.93524823872069,0.21004468415113198,4.0,6.0,0.8036202271367251,0.7094662280839742,9.992775306996184e-05,0.2577541025856328,4.828163030008813,10.0,9.0,1e-08,1e-08,21.0,54.0
249,"LIMA, LIMA, MAGDALENA DEL MAR",0.06063055168398081,0.09373962680542713,0.499260081391047,0.725308038341782,0.10897435897435885,-0.21681573639474366,0.6583558525490516,1.0,2.0,0.8941543959965705,0.01444597961537076,3.786427016129367e-07,0.08033548096802456,0.860505266981845,5.0,1e-07,1e-08,1e-08,2.0,1e-07
250,"LIMA, LIMA, PUCUSANA",0.5368747020437865,3.9891647282659854,0.5680008725048508,0.8940668635584723,0.18991156563405465,-3.1849662017973923,0.6083278752510184,1e-07,4.0,0.8384304941424919,22.649333938659268,0.00029437272752829113,0.5690871841561128,10.79534077233881,5.0,1e-07,1e-08,1e-08,4.0,1e-07
251,"LIMA, LIMA, PUEBLO LIBRE",0.02404414891426372,0.03006229701958111,-0.019593613933236567,0.21328817251551757,0.023750821827744923,0.24618069173493617,0.32925465704668533,6.0,1e-07,0.98854909101475,0.0017962752247764429,2.5294445955222906e-06,0.06371699459629886,0.4059855400384778,5.0,1.0,1e-08,1e-08,1.0,43.0
252,"LIMA, LIMA, PUENTE PIEDRA",13.829277859117216,2124.8110693755357,0.8842836343626592,0.9788411877045874,0.22758324506354638,-280.18055068404226,0.6769799424936818,3.0,6.0,0.6355535431058151,2098329.7098549437,0.8344121720622154,15.541715000000039,8909.545836666666,21.0,8.0,1e-08,1e-08,47.0,3.0
253,"LIMA, LIMA, RIMAC",0.010740309204081594,0.006005184051726979,-0.019390328113774433,0.19799550483781014,0.0010782665023227295,-0.029403519863154176,0.3378079656190026,6.0,3.0,0.916017978758214,0.00014260291024299177,3.006774448526459e-08,0.029408477875502097,0.0864858570953896,10.0,2.0,1e-08,1e-08,2.0,38.0
254,"LIMA, LIMA, SAN BORJA",0.014809755373386375,0.01140510040401432,-0.00036284470246732435,0.48635911856350433,0.055555555555555344,-0.026758686826962853,0.6700482623529178,1e-07,1.0,0.9885490910147502,0.00023221502985095347,3.614485121051558e-08,0.039245851712973887,0.15402368766767355,5.0,1e-07,1e-08,1e-08,1.0,1e-07
255,"LIMA, LIMA, SAN ISIDRO",0.03376205517363325,0.059273571181355164,-0.019593613933236557,0.3672034454712547,0.04733727810650889,0.2948441631786698,0.6804753437145468,2.0,5.0,0.98854909101475,0.006983139934970707,1.4747254953193732e-06,0.0894694461836281,0.8004781800405126,5.0,1.0,1e-08,1e-08,1.0,50.0
256,"LIMA, LIMA, SAN JUAN DE LURIGANCHO",0.05454523059136426,0.136370695593579,0.31793584856637214,0.31471734648861516,0.026240437711641276,-0.8142200717179755,0.31668075008622887,4.0,6.0,0.9210303684018717,0.05420145479290864,4.575387359267797e-06,0.1357369999995,2.4566044225152357,15.0,8.0,1e-08,1e-08,9.0,11.0
257,"LIMA, LIMA, SAN JUAN DE MIRAFLORES",0.00896144539836442,0.0031361904879517177,0.3209351377220152,0.3355112630908389,0.014794878823590811,-0.07871002081830092,0.37197463745821946,2.0,1.0,0.9292333078870352,2.768985797572721e-05,5.912693659335976e-09,0.02400868153874459,0.05764167892288552,10.0,2.0,1e-08,1e-08,3.0,22.0
258,"LIMA, LIMA, SAN LUIS",0.029814683860866702,0.04622359940261101,-0.00036284470246733926,0.48635911856350444,0.05555555555555537,-0.053870018000609636,0.670048262352918,1e-07,1.0,0.9885490910147499,0.003814341921871209,5.937118769640244e-07,0.07900891220479675,0.6242408207785282,5.0,1e-07,1e-08,1e-08,1.0,1e-07
259,"LIMA, LIMA, SAN MARTIN DE PORRES",0.19387767200615819,2.823691622228221,0.493200375685878,0.5750714628674107,0.03354808379274759,-3.9150313489190265,0.7050408129370307,4.0,1e-07,0.9268155610013391,45.82090737772694,0.0003503888033575222,0.7540349999995016,75.80917082989944,15.0,5.0,1e-08,1e-08,7.0,3.0
260,"LIMA, LIMA, SAN MIGUEL",0.012349734614014677,0.007930829129059073,-0.019593613933236588,0.18969911039314225,0.009944115713346484,-0.08181745518680607,0.2676840532047742,1.0,6.0,0.98854909101475,0.00011228695008441464,2.691020019516577e-07,0.0327267967006389,0.10710432222849488,5.0,1.0,1e-08,1e-08,1.0,15.0
